frame,running,walking,idle,S,dS,p_iw,p_wi,p_iwr,p_ri,fps
1,0,0.18,0.82,0.4193602,0.4193602,0.1563811,0.8401691,0,1,129.24
2,0,0.14,0.86,0.415508,-0.003852159,0.1436811,0.8311732,0,1,123.4082
3,0,0.2,0.8,0.4195738,0.004065782,0.1982386,0.8621967,0,1,126.2619
4,0,0.1,0.9,0.4247286,0.005154788,0.123361,0.8329645,0,1,131.5244
5,0,0.2,0.8,0.4310448,0.006316215,0.139871,0.8557427,0,1,126.2057
6,0,0.24,0.76,0.4338825,0.002837718,0.1840945,0.8240297,0,1,135.2912
7,0,0.22,0.78,0.4353846,0.001502126,0.1926161,0.8807848,0,1,140.866
8,0,0.2,0.8,0.4385844,0.003199786,0.1692968,0.7905124,0,1,128.0984
9,0,0.22,0.78,0.4428354,0.004250944,0.1766957,0.7945083,0,1,122.1081
10,0,0.16,0.84,0.4409625,-0.001872897,0.137456,0.896526,0,1,134.1503
11,0,0.16,0.84,0.4412076,0.0002451539,0.1648663,0.8181347,0,1,136.6551
12,0,0.08,0.92,0.4419867,0.0007790625,0.1398711,0.8449638,0,1,146.32
13,0,0.22,0.78,0.4400826,-0.00190407,0.1620353,0.8715914,0,1,62.50699
14,0,0.16,0.84,0.4418141,0.001731515,0.1951164,0.8634533,0,1,127.044
15,0,0.08,0.92,0.447281,0.005466878,0.1014229,0.8742946,0,1,131.2973
16,0,0.1,0.9,0.4528839,0.005602896,0.1312225,0.8486739,0,1,138.914
17,0,0.06,0.94,0.4644558,0.01157185,0.08266793,0.8769801,0,1,116.7186
18,0,0.2,0.8,0.4699063,0.005450547,0.1894013,0.757251,0,1,143.5445
19,0,0.18,0.82,0.4753263,0.005420029,0.2071569,0.7123387,0,1,143.0308
20,0,0.24,0.76,0.4781489,0.002822608,0.1835437,0.7590923,0,1,144.5561
21,0,0.1,0.9,0.4800637,0.00191474,0.1273166,0.8587138,0,1,141.5567
22,0,0.26,0.74,0.485832,0.005768299,0.1971774,0.7793946,0,1,141.3513
